timestamp,frame_file,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp_mpu,temp_bmp,pressure_hpa,altitude_bmp,motor_left_dir,motor_left_speed,motor_right_dir,motor_right_speed,servo1_angle,servo2_angle
1747351668.2829485,1747351668.283.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351669.0476851,1747351669.048.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351669.2855852,1747351669.286.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351669.5498345,1747351669.550.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351669.8167608,1747351669.817.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351670.083696,1747351670.084.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351670.3505833,1747351670.351.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351670.617172,1747351670.617.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351670.8971348,1747351670.897.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351671.16466,1747351671.165.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351671.4312665,1747351671.431.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351671.6967714,1747351671.697.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351671.9577641,1747351671.958.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351672.2317474,1747351672.232.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351672.4924486,1747351672.492.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351672.7530603,1747351672.753.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351673.033294,1747351673.033.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351673.2973785,1747351673.297.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351673.5611897,1747351673.561.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351673.8244238,1747351673.824.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351674.0888202,1747351674.089.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351674.3556695,1747351674.356.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351674.6227195,1747351674.623.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351674.8896194,1747351674.890.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351675.1567044,1747351675.157.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351675.4352057,1747351675.435.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351675.7062883,1747351675.706.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351675.9587102,1747351675.959.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351676.2256002,1747351676.226.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351676.492903,1747351676.493.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351676.759692,1747351676.760.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351677.0389447,1747351677.039.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351677.306579,1747351677.307.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351677.5603068,1747351677.560.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
1747351677.8280313,1747351677.828.jpg,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,90,90
