mag_x_raw,mag_y_raw,mag_z_raw
-250,-57,78
-249,-58,85
-248,-56,89
-249,-56,93
-249,-54,96
-249,-51,96
-250,-49,95
-250,-48,91
-250,-51,84
-248,-55,76
-247,-56,66
-244,-59,53
-242,-62,46
-241,-58,39
-241,-55,40
-243,-57,48
-244,-60,57
-244,-63,62
-243,-69,68
-242,-74,75
-241,-77,81
-241,-80,87
-240,-80,95
-240,-75,102
-241,-61,112
-240,-55,119
-237,-53,130
-236,-47,137
-236,-41,139
-237,-36,136
-236,-35,137
-236,-34,135
-235,-35,136
-235,-38,136
-236,-40,132
-237,-41,129
-238,-41,127
-239,-41,123
-240,-40,121
-240,-43,119
-241,-49,110
-241,-57,96
-239,-65,81
-236,-71,67
-234,-70,53
-232,-67,41
-231,-61,32
-230,-53,24
-230,-44,20
-230,-33,17
-230,-22,16
-230,-13,15
-230,-2,14
-231,6,15
-231,13,16
-231,17,14
-232,20,15
-233,20,16
-234,20,17
-235,18,18
-235,16,18
-236,18,21
-236,22,22
-235,27,21
-232,35,18
-231,42,16
-229,48,16
-230,56,21
-231,64,29
-232,68,36
-232,71,42
-234,73,49
-234,75,56
-234,78,64
-234,82,81
-235,79,92
-234,77,102
-234,74,109
-233,69,116
-232,65,122
-231,62,127
-231,60,132
-230,54,138
-229,47,144
-228,42,148
-228,38,150
-229,34,149
-231,28,149
-231,23,150
-230,18,151
-231,14,152
-231,13,150
-233,13,147
-234,14,144
-233,14,145
-231,16,148
-230,19,148
-232,23,144
-234,30,136
-235,36,127
-238,38,115
-241,39,102
-241,43,89
-240,47,77
-238,50,65
-236,51,52
-235,46,43
-234,38,35
-233,32,28
-230,26,20
-229,21,13
-229,18,10
-231,18,12
-234,17,18
-238,13,22
-240,8,23
-241,1,23
-242,-9,24
-242,-15,22
-241,-19,19
-239,-16,13
-235,-11,5
-232,-11,-1
-230,-13,-3
-234,-14,4
-236,-13,12
-240,-14,18
-241,-10,25
-242,-6,28
-240,-4,25
-235,-6,11
-223,-8,-9
-205,-7,-31
-182,-8,-50
-157,-7,-67
-132,-3,-78
-107,0,-87
-81,-2,-93
-55,-2,-95
-30,-5,-96
-8,-6,-94
11,-9,-92
29,-11,-88
43,-14,-85
56,-16,-81
67,-18,-77
74,-20,-74
76,-21,-73
71,-20,-76
60,-21,-81
43,-20,-87
21,-20,-92
-4,-19,-96
-32,-17,-98
-61,-14,-96
-88,-11,-92
-115,-9,-85
-141,-6,-75
-169,-2,-59
-195,0,-40
-217,5,-16
-234,7,10
-243,10,34
-249,13,54
-250,14,71
-250,14,87
-249,14,101
-246,13,114
-244,12,124
-242,6,130
-241,-2,134
-240,-10,138
-240,-18,139
-240,-18,139
-236,-41,147
-234,-47,151
-232,-43,157
-228,-41,162
-222,-37,171
-211,-32,185
-194,-16,199
-173,3,212
-144,16,225
-115,23,232
-88,27,236
-65,26,238
-49,28,237
-36,20,237
-24,16,236
-10,16,233
7,18,228
