mag_x_raw,mag_y_raw,mag_z_raw
155,-18,41
154,-18,40
155,-18,40
155,-18,40
155,-20,42
155,-21,42
155,-22,42
155,-23,42
155,-25,42
155,-25,43
155,-25,43
154,-29,42
153,-34,41
152,-39,39
151,-47,41
149,-56,46
147,-65,53
146,-73,61
143,-79,65
140,-85,68
137,-92,73
134,-97,78
131,-100,83
128,-104,89
124,-105,95
122,-106,100
120,-106,104
118,-106,108
117,-106,113
115,-105,118
111,-104,124
108,-102,131
105,-99,137
102,-95,145
99,-90,151
97,-84,156
94,-77,162
91,-70,168
86,-62,174
77,-47,185
71,-38,189
65,-30,193
59,-22,197
53,-14,200
47,-6,203
42,1,205
35,9,207
30,16,208
22,21,209
16,28,210
9,33,210
3,37,211
-3,40,211
-9,44,211
-16,47,211
-22,50,211
-29,53,210
-35,56,210
-40,59,209
-45,62,207
-52,64,206
-59,66,205
-65,69,203
-72,71,201
-80,72,199
-87,74,196
-92,74,194
-96,75,192
-100,76,191
-104,77,189
-108,77,187
-112,77,185
-116,77,182
-120,77,180
-123,77,178
-129,76,176
-133,76,172
-136,75,171
-139,74,169
-143,73,166
-145,72,164
-148,71,162
-151,69,160
-154,68,158
-156,67,157
-156,66,156
-159,65,154
-161,64,153
-165,61,148
-169,60,145
-171,58,142
-173,57,140
-174,56,138
-176,54,136
-177,53,135
-178,50,132
-180,47,131
-182,46,130
-182,44,130
-181,44,130
-181,43,131
-181,40,133
-180,36,136
-178,33,139
-177,33,142
-175,33,144
-173,36,147
-170,37,150
-168,38,153
-166,40,155
-163,43,157
-161,45,158
-159,50,159
-156,53,161
-151,57,164
-148,59,166
-142,63,169
-136,68,172
-130,72,175
-123,76,178
-115,80,180
-106,84,183
-98,86,186
-90,88,188
-83,90,189
-76,93,190
-71,95,190
-66,97,190
-58,98,191
-52,100,191
-45,103,190
-38,106,188
-29,108,188
-20,111,186
-10,114,183
0,117,180
9,119,177
9,119,177
35,124,165
44,124,161
51,124,157
57,124,154
62,124,152
68,122,149
73,121,145
78,120,142
82,120,137
87,120,133
91,120,129
95,120,124
99,119,119
103,118,113
107,117,108
110,115,103
114,113,98
118,110,93
122,106,90
125,103,87
127,100,84
129,97,82
131,95,81
132,93,79
133,91,79
134,89,78
136,87,77
137,85,75
139,82,73
139,81,72
140,80,69
141,79,68
141,77,65
141,75,62
143,72,57
144,68,53
145,65,48
145,61,43
144,59,37
144,56,32
144,52,28
142,49,23
141,48,20
139,48,17
138,48,13
136,47,9
133,48,8
132,51,6
130,60,9
130,63,10
130,65,11
128,65,10
125,69,7
122,71,4
119,73,1
115,74,-3
112,73,-6
109,75,-8
105,79,-10
100,79,-14
95,78,-20
89,75,-26
82,72,-31
73,68,-37
66,62,-43
58,58,-47
52,54,-50
49,52,-52
47,48,-53
45,44,-54
44,41,-55
42,38,-57
40,37,-57
39,34,-58
38,31,-59
36,28,-59
35,23,-60
30,23,-61
26,20,-62
21,14,-63
14,9,-64
6,6,-65
-2,2,-65
-9,-1,-66
-16,-4,-66
-21,-6,-65
-27,-9,-65
-33,-11,-64
-40,-13,-63
-47,-14,-62
-53,-15,-61
-61,-14,-59
-68,-15,-57
-74,-15,-55
-80,-16,-54
-85,-16,-52
-90,-17,-49
-104,-18,-43
-111,-17,-39
-119,-16,-35
-126,-16,-31
-133,-15,-27
-140,-14,-22
-147,-12,-16
-152,-12,-12
-155,-12,-9
-158,-12,-6
-161,-12,-2
-165,-12,3
-169,-10,8
-173,-9,13
-176,-8,18
-179,-5,23
-183,-2,29
-186,0,34
-188,2,41
-191,2,47
-193,3,53
-194,5,59
-195,11,66
-197,15,72
-197,20,78
-196,24,83
-196,27,86
-196,31,88
-195,35,89
-194,40,89
-193,45,92
-192,49,93
-191,53,94
-190,58,95
-188,62,94
-188,67,94
-186,70,94
-185,74,92
-184,79,91
-181,85,90
-178,91,89
-174,97,86
-171,102,84
-169,107,82
-167,109,79
-165,113,75
-164,114,70
