mag_x_raw,mag_y_raw,mag_z_raw
52,-53,42
42,-59,42
30,-63,11
14,-65,-2
-8,-65,-16
-33,-63,-29
-52,-56,-45
-64,-49,-63
-76,-40,-77
-90,-29,-92
-99,-14,-107
-100,-6,-119
-98,-1,-126
-93,0,-132
-87,3,-139
-80,10,-150
-73,21,-162
-66,34,-173
-55,44,-182
-43,45,-186
-34,41,-187
-26,35,-187
-17,31,-186
-7,29,-187
4,26,-186
15,24,-184
25,21,-182
31,18,-179
35,15,-177
38,13,-175
40,12,-173
45,12,-173
48,13,-172
50,14,-172
50,14,-171
54,12,-169
57,9,-166
56,7,-165
53,5,-164
50,4,-164
50,4,-163
50,3,-162
48,2,-162
45,1,-161
41,-2,-159
38,-3,-159
36,-5,-158
33,-7,-156
31,-8,-154
32,-9,-153
32,-9,-153
29,-17,-145
26,-23,-139
21,-30,-129
15,-38,-116
10,-45,-100
3,-52,-83
-2,-58,-63
-6,-62,-40
-9,-64,-13
-10,-61,16
-12,-56,44
-16,-48,68
-18,-38,89
-18,-27,104
-19,-19,115
-18,-12,122
-18,-6,128
-17,0,133
-19,8,138
-22,16,143
-26,27,147
-28,38,151
-29,49,154
-27,60,155
-25,72,156
-29,82,154
-34,92,152
-33,103,149
-30,115,145
-27,128,139
-22,142,130
-17,154,120
-11,167,107
-4,178,93
1,187,78
5,195,63
8,201,49
11,205,35
10,207,25
7,209,17
2,210,13
-5,211,9
-9,212,4
-11,212,0
-17,211,-2
-23,212,-2
-27,210,-1
-31,211,1
-41,208,1
-46,207,2
-55,205,1
-66,201,1
-77,198,-5
-85,196,-15
-87,196,-27
-91,193,-43
-97,186,-63
-102,177,-84
-104,166,-106
-103,152,-125
-98,139,-142
-89,127,-156
-77,114,-169
-62,101,-180
-40,89,-189
-19,81,-194
-3,76,-195
11,72,-195
26,70,-195
41,70,-192
55,70,-189
68,68,-185
77,68,-182
84,67,-178
87,66,-176
87,66,-178
85,63,-178
80,56,-179
73,45,-178
64,31,-175
57,17,-170
52,7,-164
51,-2,-158
48,-11,-148
44,-21,-138
38,-30,-126
32,-39,-114
27,-47,-100
24,-53,-85
22,-58,-68
20,-62,-49
19,-65,-28
17,-65,-7
15,-65,12
13,-61,30
12,-57,46
12,-57,46
-2,-41,86
-7,-35,96
-12,-29,105
-19,-21,114
-27,-10,123
-39,4,132
-50,19,137
-59,32,140
-65,44,141
-70,53,140
-74,61,140
-78,69,138
-79,77,137
-79,85,136
-78,95,135
-76,106,132
-72,116,129
-69,123,127
-66,127,126
-61,133,123
-57,137,123
-54,139,122
-48,141,122
-45,144,121
-40,150,118
-36,158,111
-32,167,101
-27,177,89
-24,187,75
-23,193,62
-23,197,53
-27,198,49
-34,197,49
-37,197,46
-39,200,38
-37,204,25
-39,208,6
-44,209,-14
-51,207,-35
-58,204,-55
-65,197,-76
-66,189,-99
-61,180,-119
-54,172,-136
-45,165,-149
-35,159,-159
-10,142,-176
2,134,-182
12,127,-185
22,122,-186
32,120,-186
42,119,-185
52,120,-182
62,123,-178
72,128,-172
82,136,-164
88,146,-151
92,158,-137
92,171,-118
89,183,-98
83,193,-74
76,199,-48
69,201,-19
63,199,11
57,192,41
54,180,69
50,165,95
48,147,115
47,128,130
52,108,139
57,90,144
61,70,145
62,49,144
60,31,140
60,17,133
61,9,129
66,5,124
72,3,119
76,1,115
80,-4,109
82,-12,101
84,-22,86
85,-33,66
83,-42,43
75,-51,24
65,-56,4
56,-59,-15
43,-61,-34
28,-60,-53
18,-57,-72
19,-52,-86
14,-49,-96
5,-46,-101
-1,-42,-109
-9,-37,-119
-26,-21,-119
-40,-13,-144
-49,-5,-150
-53,7,-158
-56,22,-168
-54,41,-178
-47,61,-186
-36,76,-191
-23,84,-194
-14,87,-195
-8,86,-196
-3,84,-196
3,82,-197
10,79,-197
