mag_x_raw,mag_y_raw,mag_z_raw
60,-101,-60
76,-97,-61
83,-95,-62
89,-93,-62
94,-91,-62
98,-90,-61
100,-88,-60
103,-88,-60
106,-87,-60
108,-86,-61
112,-84,-63
115,-82,-65
119,-81,-68
123,-78,-70
126,-76,-73
131,-73,-75
137,-69,-77
140,-67,-79
141,-65,-82
144,-64,-82
149,-60,-82
153,-57,-84
155,-55,-88
158,-52,-92
161,-49,-94
164,-46,-95
168,-44,-96
172,-40,-95
174,-39,-96
174,-39,-99
175,-38,-103
176,-36,-104
178,-35,-106
181,-31,-107
185,-28,-106
187,-26,-105
188,-26,-104
190,-25,-101
193,-22,-98
194,-21,-95
196,-21,-93
198,-21,-92
200,-22,-91
201,-24,-91
203,-24,-89
205,-24,-86
207,-24,-85
208,-24,-85
209,-23,-87
209,-22,-91
208,-21,-96
210,-16,-108
210,-14,-114
210,-12,-120
210,-9,-127
209,-7,-135
209,-4,-140
209,-1,-146
208,1,-152
205,4,-160
201,5,-169
198,9,-175
196,11,-180
194,14,-185
193,15,-188
194,18,-190
192,20,-193
190,22,-197
189,23,-200
187,24,-203
184,27,-207
180,28,-211
177,29,-215
173,29,-219
169,26,-223
165,24,-225
161,18,-227
157,14,-228
156,12,-228
154,10,-228
151,11,-230
151,16,-233
148,22,-236
145,28,-240
142,32,-243
141,34,-243
142,31,-242
142,26,-241
143,20,-240
144,15,-238
145,10,-237
145,6,-236
144,1,-235
142,-4,-235
141,-8,-233
141,-11,-231
141,-12,-230
140,-13,-229
139,-15,-228
138,-17,-227
137,-21,-224
135,-31,-224
134,-36,-213
132,-42,-208
130,-44,-204
127,-45,-203
124,-45,-202
118,-47,-203
114,-48,-203
112,-49,-201
113,-50,-199
115,-51,-196
116,-54,-190
116,-58,-184
119,-63,-175
121,-70,-165
126,-76,-149
132,-82,-132
135,-84,-117
136,-86,-108
136,-87,-104
133,-88,-103
130,-88,-103
129,-89,-103
128,-89,-101
128,-90,-97
130,-91,-90
130,-91,-82
131,-91,-76
131,-91,-72
133,-91,-68
134,-90,-62
135,-90,-57
137,-88,-52
138,-88,-46
137,-87,-39
138,-86,-30
140,-84,-23
144,-81,-16
146,-78,-11
149,-76,-7
151,-73,-2
153,-71,2
156,-68,6
159,-65,8
161,-62,11
165,-58,15
167,-55,17
171,-52,19
174,-48,21
177,-45,22
177,-45,22
184,-35,31
186,-32,34
188,-27,36
190,-24,39
191,-20,43
193,-15,47
193,-11,53
192,-6,60
191,-2,65
189,2,71
187,5,77
185,10,82
182,14,88
178,18,95
174,22,101
169,25,106
165,28,111
159,31,118
153,35,123
147,39,128
141,46,133
135,52,137
133,56,139
130,58,141
125,60,144
121,63,147
116,67,149
109,71,152
102,74,155
95,77,157
88,80,160
81,83,162
75,86,162
68,90,163
61,94,164
53,99,164
47,102,164
40,105,165
34,108,165
27,111,165
19,114,165
12,116,164
4,117,164
-2,118,164
-8,118,163
-13,117,164
-18,117,164
-23,116,164
-29,115,164
-29,115,164
-42,114,162
-46,113,162
-52,112,161
-57,110,161
-62,109,160
-66,105,160
-70,102,161
-73,100,161
-75,97,161
-78,94,160
-82,91,160
-86,87,159
-89,84,158
-92,80,158
-95,76,157
-99,72,156
-102,68,155
-105,65,154
-108,61,152
-112,57,151
-113,51,150
-113,44,149
-114,38,148
-114,30,146
-115,23,144
-114,17,142
-113,11,141
-110,5,140
-108,0,138
-105,-7,137
-103,-12,135
-101,-17,132
-98,-24,129
-94,-30,126
-92,-36,122
-91,-42,116
-90,-48,110
-89,-54,104
-89,-57,99
-90,-59,94
-94,-60,90
-102,-58,88
-114,-52,86
-125,-45,88
-137,-35,89
-147,-24,91
-156,-12,94
-163,0,96
-167,11,98
-170,20,100
-172,39,106
-172,49,109
-170,58,113
-168,67,115
-165,74,117
-162,82,119
-157,90,121
-153,96,124
-147,103,126
-140,108,129
-134,113,131
-127,119,133
-118,125,136
-108,130,138
-99,136,139
-92,140,139
-86,144,139
-81,148,139
-75,149,140
-70,150,141
-64,149,143
-57,148,145
-48,146,148
-41,143,152
-33,139,155
-26,135,157
-19,131,160
-11,126,164
-3,121,167
6,114,170
13,106,173
20,98,175
25,91,177
31,84,177
35,77,179
41,71,179
47,64,178
52,57,178
55,49,176
58,41,176
60,34,174
62,26,172
63,18,171
64,10,169
65,1,166
64,-9,164
63,-18,160
61,-27,156
60,-35,151
60,-49,140
59,-58,135
58,-65,128
56,-73,121
53,-82,112
49,-91,102
44,-100,90
39,-108,76
33,-115,61
25,-121,47
17,-126,35
10,-128,23
3,-131,11
-1,-132,0
-5,-132,-9
-9,-132,-16
-12,-133,-16
-18,-133,-11
-22,-132,1
-27,-130,15
-33,-127,26
-37,-126,31
-44,-125,29
-53,-124,28
-59,-122,27
-66,-119,27
-74,-117,27
-80,-115,25
-86,-114,20
-91,-112,12
-97,-111,1
-103,-108,-9
-110,-106,-20
-116,-103,-28
-120,-100,-40
-123,-98,-52
-125,-96,-65
-128,-93,-77
-129,-91,-89
-125,-89,-103
-121,-86,-119
-115,-84,-132
-107,-82,-142
-98,-81,-152
-88,-78,-162
-78,-76,-171
-68,-73,-179
-57,-71,-185
-45,-69,-189
-32,-69,-192
1,-66,-196
19,-63,-196
37,-61,-194
53,-60,-189
68,-59,-183
80,-59,-175
91,-59,-165
101,-62,-154
109,-63,-143
113,-64,-135
117,-65,-130
119,-65,-127
121,-64,-124
125,-64,-119
128,-64,-113
132,-64,-104
137,-63,-98
142,-60,-95
148,-55,-93
153,-51,-93
154,-48,-94
155,-48,-94
155,-49,-92
151,-52,-87
152,-53,-78
154,-53,-69
151,-55,-61
149,-56,-56
148,-57,-51
146,-59,-47
144,-60,-42
141,-62,-35
135,-66,-23
129,-67,-7
121,-67,12
116,-64,28
108,-65,37
105,-66,41
102,-66,44
101,-66,45
101,-65,48
99,-64,52
96,-62,58
94,-58,66
91,-57,72
87,-57,74
85,-58,75
85,-59,76
82,-59,77
81,-59,80
86,-53,87
81,-50,93
78,-47,101
72,-43,107
68,-39,114
63,-35,120
56,-31,127
50,-25,134
44,-19,141
38,-13,147
34,-6,151
32,-2,153
32,1,155
33,2,154
33,0,152
33,1,152
31,7,154
29,14,156
25,17,157
21,11,155
21,2,153
21,-3,151
18,-5,151
11,-4,152
2,-1,154
-7,1,155
-14,1,155
-17,0,156
-21,1,155
-27,1,155
-34,0,155
-42,-1,153
-50,-1,151
-56,-3,149
-60,-3,148
-63,-4,146
-66,-5,145
-68,-6,144
-69,-8,143
-70,-9,142
-71,-9,141
-75,-11,139
-80,-13,136
-88,-15,131
-96,-18,126
-103,-22,120
-107,-26,115
-110,-28,109
-105,-38,104
-100,-44,101
-98,-49,97
-94,-53,92
-90,-59,87
-85,-65,81
-81,-70,73
-76,-75,66
-70,-79,60
-65,-82,56
-59,-85,52
-53,-88,47
-48,-90,42
-45,-92,37
-43,-94,33
-42,-95,29
-41,-96,27
-40,-97,23
-39,-97,20
-38,-97,20
-36,-97,22
-35,-96,24
-32,-96,28
-28,-94,34
-24,-93,40
-18,-91,46
-12,-89,51
-5,-87,57
4,-85,63
12,-82,67
16,-79,72
19,-77,76
23,-74,81
26,-71,84
28,-69,88
28,-67,92
30,-63,96
33,-60,101
34,-56,106
35,-51,112
36,-46,117
35,-41,123
34,-34,129
34,-27,135
33,-21,140
31,-13,144
31,-5,149
31,4,152
34,14,155
37,28,158
35,34,159
30,40,161
22,45,163
12,47,163
3,47,163
-6,45,163
-15,43,161
-24,43,160
-33,43,159
-42,45,159
-51,44,158
-62,42,156
-74,40,153
-84,37,150
-91,36,148
-94,36,147
-95,35,148
-96,33,147
-95,29,147
-91,24,146
-88,20,146
-85,17,147
-81,11,146
-75,3,144
-70,-9,138
-67,-22,130
-60,-34,120
-58,-45,110
-52,-51,105
-46,-51,105
-37,-51,107
-29,-54,106
-22,-57,103
-12,-64,95
-7,-72,84
-4,-80,71
0,-88,55
3,-95,35
4,-101,14
6,-106,-6
10,-109,-25
16,-110,-41
24,-109,-57
36,-108,-69
46,-106,-79
55,-104,-86
65,-102,-89
76,-100,-94
89,-95,-99
107,-89,-109
117,-84,-113
127,-79,-117
137,-73,-119
147,-67,-121
157,-61,-121
168,-55,-117
180,-48,-112
191,-40,-107
200,-32,-103
206,-25,-104
211,-17,-107
216,-9,-111
220,2,-116
224,14,-120
228,30,-126
229,47,-134
228,66,-142
224,83,-149
220,98,-154
215,112,-157
210,126,-160
205,138,-160
199,150,-159
192,166,-155
180,183,-151
170,195,-149
162,201,-151
157,203,-156
148,206,-161
137,212,-163
124,220,-164
113,226,-164
104,229,-167
98,231,-170
91,231,-176
83,231,-180
74,232,-185
63,232,-191
55,231,-196
48,229,-202
44,226,-208
43,223,-212
42,222,-215
40,223,-215
35,227,-212
29,233,-207
30,238,-201
35,241,-196
35,241,-196
47,257,-157
50,263,-140
47,269,-121
43,273,-100
39,276,-82
37,276,-66
45,274,-53
62,268,-43
82,261,-41
99,254,-42
119,245,-45
144,232,-50
168,215,-60
191,192,-71
211,169,-77
223,148,-75
233,129,-67
241,112,-55
245,94,-42
248,78,-31
248,62,-20
246,43,-15
242,25,-13
236,6,-11
227,-14,-14
217,-31,-22
204,-45,-30
186,-62,-39
167,-76,-43
143,-91,-44
121,-103,-41
95,-112,-38
68,-120,-34
42,-123,-27
19,-125,-18
-1,-125,-8
-20,-121,0
-40,-117,10
-57,-111,21
-74,-104,31
-90,-96,43
-102,-85,55
-114,-71,70
-122,-55,85
-126,-40,98
-130,-26,108
-132,-12,115
-134,6,122
-132,23,131
-116,48,131
-107,52,153
-101,50,155
-98,46,157
-92,46,159
-85,48,163
-76,50,168
-70,50,171
-64,50,175
-58,49,176
-48,45,179
-36,37,178
-24,27,178
-10,19,175
3,14,173
12,11,171
21,11,170
25,11,170
27,6,166
37,0,160
50,-4,153
60,-9,146
70,-10,141
81,-9,137
91,-8,132
102,-13,123
116,-17,112
130,-23,97
144,-29,79
157,-32,60
170,-32,40
183,-27,21
193,-25,4
199,-22,-14
203,-21,-30
