mag_x_raw,mag_y_raw,mag_z_raw
31,3,-245
30,4,-245
29,4,-246
28,5,-246
28,4,-246
28,5,-246
28,5,-246
28,6,-246
27,7,-247
26,8,-247
26,9,-247
25,9,-248
26,9,-247
27,7,-247
28,6,-246
29,4,-245
32,2,-244
36,0,-242
39,-2,-241
41,-3,-239
43,-6,-238
45,-8,-236
48,-11,-233
51,-15,-230
55,-19,-226
58,-22,-222
62,-25,-219
65,-28,-215
69,-31,-212
74,-33,-208
84,-36,-200
95,-38,-191
104,-42,-180
107,-45,-174
108,-46,-172
110,-48,-169
111,-50,-165
115,-51,-160
118,-53,-155
120,-54,-151
123,-55,-149
126,-56,-143
128,-57,-138
130,-60,-131
132,-61,-126
133,-61,-121
135,-64,-115
136,-65,-109
137,-66,-103
139,-67,-97
140,-67,-92
141,-69,-87
142,-69,-84
143,-68,-81
144,-68,-80
145,-67,-77
145,-67,-73
146,-68,-68
147,-68,-63
146,-69,-58
147,-70,-55
147,-70,-51
144,-72,-48
141,-74,-45
138,-76,-41
130,-80,-36
125,-83,-33
121,-85,-30
121,-84,-29
122,-82,-29
123,-81,-29
124,-80,-27
123,-80,-24
121,-81,-21
120,-81,-19
118,-82,-16
115,-82,-13
111,-83,-8
105,-86,-3
98,-88,2
94,-89,7
90,-89,11
88,-90,15
84,-91,19
80,-91,25
75,-91,29
72,-91,34
70,-90,38
69,-89,41
67,-88,45
63,-87,48
60,-87,52
57,-86,55
53,-85,58
51,-84,60
46,-84,65
41,-83,68
36,-83,70
32,-82,73
28,-81,75
22,-81,77
17,-80,79
13,-79,81
10,-79,83
9,-78,84
6,-78,86
4,-77,87
1,-76,89
-2,-76,91
-6,-74,93
-9,-73,95
-12,-71,97
-15,-70,98
-17,-69,100
-22,-69,101
-25,-68,102
-30,-67,103
-33,-65,106
-37,-64,107
-40,-62,109
-43,-61,111
-46,-60,113
-51,-58,114
-56,-55,116
-61,-54,117
-65,-52,119
-69,-51,120
-73,-49,120
-77,-47,121
-82,-46,121
-84,-46,121
-87,-46,119
-91,-46,118
-94,-46,117
-98,-46,115
-101,-46,113
-105,-46,111
-109,-45,109
-115,-43,108
-121,-39,108
-124,-39,107
-125,-40,106
-126,-41,103
-128,-42,101
-134,-43,101
-135,-46,91
-136,-49,87
-138,-50,82
-139,-51,79
-139,-53,75
-140,-55,71
-142,-56,68
-143,-57,64
-145,-58,60
-144,-60,57
-144,-61,53
-145,-62,49
-145,-63,46
-145,-65,42
-143,-68,37
-142,-70,32
-140,-72,27
-138,-75,20
-134,-78,16
-131,-81,10
-127,-83,5
-123,-86,-1
-117,-89,-6
-112,-92,-11
-106,-94,-16
-100,-96,-22
-94,-99,-27
-87,-100,-30
-81,-101,-32
-78,-102,-34
-71,-104,-36
-65,-105,-38
-61,-106,-40
-58,-107,-40
-56,-107,-40
-52,-107,-42
-42,-109,-44
-32,-110,-45
-23,-110,-47
-15,-110,-52
-7,-110,-56
1,-110,-59
6,-109,-61
11,-109,-61
11,-109,-60
14,-109,-59
27,-108,-60
42,-105,-60
