timestamp,frame_file,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp_mpu,temp_bmp,pressure,altitude_bmp,motor_left_dir,motor_left_speed,motor_right_dir,motor_right_speed,servo1_angle,servo2_angle,e_stop_active
1747827527.1566932,1747827527.157.jpg,0.0859375,-0.06884765625,1.058349609375,0.6946564885496184,-0.11450381679389313,1.1603053435114503,0,0,0,28.577058823529413,27.09452972858089,0,0,0,0,0,0,90,90,0
1747827527.2575157,1747827527.258.jpg,0.088623046875,-0.082763671875,1.0556640625,0.4732824427480916,0.030534351145038167,1.251908396946565,0,0,0,28.48294117647059,27.062510110445327,0,0,0,0,0,0,90,90,0
1747827527.458865,1747827527.459.jpg,0.0859375,-0.072021484375,1.070556640625,0.5038167938931297,0.030534351145038167,1.251908396946565,0,0,0,28.435882352941178,27.056105438054963,0,0,0,0,0,0,90,90,0
1747827527.5595431,1747827527.560.jpg,0.089111328125,-0.0693359375,1.058837890625,0.6946564885496184,-0.06870229007633588,1.2748091603053435,0,0,0,28.624117647058824,27.049700515924872,0,0,0,0,0,0,90,90,0
1747827527.660009,1747827527.660.jpg,0.087646484375,-0.073486328125,1.0615234375,0.7786259541984732,0.05343511450381679,1.2061068702290076,0,0,0,28.53,27.056105438054963,0,0,0,0,0,0,90,90,0
1747827527.861577,1747827527.862.jpg,0.085205078125,-0.06982421875,1.0537109375,0.6793893129770993,-0.183206106870229,1.1221374045801527,0,0,0,28.53,27.062510110445327,0,0,0,0,0,0,90,90,0
1747827527.9619966,1747827527.962.jpg,0.087158203125,-0.072265625,1.060791015625,0.5877862595419847,0.07633587786259542,1.2900763358778626,0,0,0,28.435882352941178,27.049700515924872,0,0,0,0,0,0,90,90,0
1747827528.062065,1747827528.062.jpg,0.08544921875,-0.071044921875,1.06005859375,0.6793893129770993,-0.15267175572519084,1.2061068702290076,0,0,0,28.48294117647059,27.049700515924872,0,0,0,0,0,0,90,90,0
1747827528.2627697,1747827528.263.jpg,0.081298828125,-0.083984375,1.057861328125,0.9465648854961832,-0.17557251908396945,1.0229007633587786,0,0,0,28.48294117647059,27.049700515924872,0,0,0,0,0,0,90,90,0
1747827528.3638937,1747827528.364.jpg,0.098876953125,-0.0888671875,1.050048828125,1.6870229007633588,-0.6564885496183206,1.0381679389312977,0,0,0,28.53,27.056105438054963,0,0,0,0,0,0,90,90,0
1747827528.4644969,1747827528.464.jpg,0.1103515625,-0.07177734375,1.013916015625,2.6717557251908395,-0.17557251908396945,1.0458015267175573,0,0,0,28.388823529411766,27.056105438054963,0,0,0,0,0,0,90,90,0
